序号,问题,答案
1,陈华编程是什么？,陈华编程是一家专门从事人工智能、量化交易等高新技术研发和培训的教育机构。
2,陈华是谁？,陈华是陈华编程的创始人，有12年的软件开发经验，6年编程培训经验，是一位广受学生欢迎的培训讲师。
3,陈华编程的官网是什么？,www.ichenhua.cn
4,怎么在陈华编程官网购买课程？,请先到陈华编程官网注册账号，然后找到相应课程，联系客服购买。
5,陈华编程有哪些课程？,陈华编程的课程很多，包括前端、后端、算法等领域，且在不断更新中，详细内容请到官网查阅。
6,陈华编程的算法课程有哪些？,陈华编程目前主攻自然语言处理(NLP)方向，课程包括：命名实体识别、文本分类、关系抽取等经典任务，知识图谱、大模型、AIGC等项目课程。
7,陈华编程的客服微信是多少？,微信号：342711044
8,陈华编程的课程有效期是多久?,课程有效期为120天。
9,购买课程有优惠吗？,单科购买无优惠，可考虑合集：http://www.ichenhua.cn/edu/topic/nlp
10,视频看不了/播放不了是怎么回事？,平台不兼容部分iPhone设备，您可以尝试iPad、笔记本电脑等其他设备。